lat,lon,alt
426816174,-29658142,0
426816003,-29658676,0
426816174,-29658142,0
426816174,-29658142,0
426816173,-29658070,0
426818287,-29660040,0
0,0,0
426816250,-29664750,0
426816771,-29664273,0
